Date;Open;High;Low;Close;Volume
1980-12-02;3.7880799936829135e-06;3.870429558762977e-06;3.7880799936829135e-06;3.7880799936829135e-06;100710400.0
1980-12-03;3.7469052611211532e-06;3.7469052611211532e-06;3.7057304780319096e-06;3.70573047803191e-06;25177600.0
1980-12-04;3.82925099984277e-06;3.8704257417765635e-06;3.82925099984277e-06;3.82925099984277e-06;22694400.0
1980-12-05;3.7057302971664865e-06;3.7057302971664865e-06;3.6233807350072315e-06;3.623380735007231e-06;7590400.0
1980-12-08;3.4586818434167596e-06;3.4586818434167596e-06;3.41750705956656e-06;3.41750705956656e-06;5414400.0
1980-12-09;3.4175075788768066e-06;3.4175075788768066e-06;3.3351579986629076e-06;3.3351579986629076e-06;5824000.0
1980-12-10;3.2528063409125405e-06;3.2528063409125405e-06;3.1292820494854823e-06;3.1292820494854823e-06;5875200.0
1980-12-11;3.046933481224793e-06;3.046933481224793e-06;2.964583927678177e-06;2.964583927678177e-06;5440000.0
1980-12-12;3.088107860094169e-06;3.1292826315620915e-06;3.088107860094169e-06;3.088107860094169e-06;8153600.0
1980-12-15;3.2116315651364857e-06;3.2528063287920818e-06;3.2116315651364857e-06;3.2116315651364857e-06;6643200.0
1980-12-16;3.211631577103521e-06;3.211631577103521e-06;3.1292820494854823e-06;3.1292820494854823e-06;6630400.0
1980-12-17;3.0881055520956283e-06;3.0881055520956283e-06;3.0057560707064113e-06;3.0057560707064113e-06;4672000.0
1980-12-18;3.088107860094169e-06;3.170457403030014e-06;3.088107860094169e-06;3.088107860094169e-06;11251200.0
1980-12-19;3.2116315651364857e-06;3.2528063287920818e-06;3.2116315651364857e-06;3.2116315651364857e-06;10035200.0
1980-12-22;3.2116315651364857e-06;3.293981092447678e-06;3.2116315651364857e-06;3.2116315651364857e-06;1856000.0
1980-12-23;3.293981080787489e-06;3.376330607807176e-06;3.293981080787489e-06;3.293981080787489e-06;5696000.0
1980-12-24;3.41750705956656e-06;3.499856627266959e-06;3.41750705956656e-06;3.41750705956656e-06;2444800.0
1980-12-26;3.458680112089496e-06;3.5410296385678176e-06;3.458680112089496e-06;3.458680112089496e-06;1459200.0
1980-12-29;3.4586818434167596e-06;3.499856627266959e-06;3.41750705956656e-06;3.41750705956656e-06;1740800.0
1980-12-30;3.4998549836018356e-06;3.5410297481147984e-06;3.4998549836018356e-06;3.4998549836018356e-06;4364800.0
1980-12-31;3.499854875328657e-06;3.5410296385678176e-06;3.458680112089496e-06;3.458680112089496e-06;2918400.0
