date,1. open,2. high,3. low,4. close,5. volume,Ticker
2023-02-03 19:37:00,1.39,1.39,1.39,1.39,1000.0,NCTY
2023-02-03 19:21:00,1.39,1.39,1.34,1.34,500.0,NCTY
2023-02-03 18:53:00,1.39,1.39,1.39,1.39,777.0,NCTY
2023-02-03 18:43:00,1.39,1.39,1.39,1.39,100.0,NCTY
2023-02-03 18:40:00,1.34,1.34,1.34,1.34,133.0,NCTY
2023-02-03 18:35:00,1.39,1.39,1.39,1.39,200.0,NCTY
2023-02-03 18:16:00,1.34,1.34,1.34,1.34,290.0,NCTY
2023-02-03 16:50:00,1.39,1.39,1.39,1.39,140.0,NCTY
2023-02-03 16:36:00,1.39,1.39,1.39,1.39,100.0,NCTY
2023-02-03 16:17:00,1.39,1.3901,1.39,1.3901,413.0,NCTY
2023-02-03 16:12:00,1.3901,1.3901,1.3901,1.3901,1000.0,NCTY
2023-02-03 16:11:00,1.39,1.39,1.39,1.39,287.0,NCTY
2023-02-03 16:00:00,1.333,1.338,1.33,1.33,2362.0,NCTY
2023-02-03 15:59:00,1.34,1.34,1.3306,1.335,1453.0,NCTY
2023-02-03 15:58:00,1.335,1.335,1.33,1.33,219.0,NCTY
2023-02-03 15:57:00,1.34,1.345,1.33,1.33,1407.0,NCTY
2023-02-03 15:55:00,1.3499,1.3499,1.345,1.345,999.0,NCTY
2023-02-03 15:54:00,1.3487,1.3487,1.3487,1.3487,575.0,NCTY
2023-02-03 15:53:00,1.34,1.34,1.34,1.34,7176.0,NCTY
2023-02-03 15:52:00,1.3499,1.3499,1.3493,1.3497,5400.0,NCTY
2023-02-03 15:51:00,1.33,1.34,1.33,1.34,5318.0,NCTY
2023-02-03 15:50:00,1.33,1.33,1.325,1.325,2483.0,NCTY
2023-02-03 15:49:00,1.32,1.325,1.32,1.3246,1216.0,NCTY
2023-02-03 15:48:00,1.324,1.324,1.324,1.324,500.0,NCTY
2023-02-03 15:47:00,1.3299,1.3299,1.32,1.32,1119.0,NCTY
2023-02-03 15:46:00,1.33,1.33,1.32,1.32,2015.0,NCTY
2023-02-03 15:45:00,1.32,1.32,1.32,1.32,163.0,NCTY
2023-02-03 15:44:00,1.3289,1.3289,1.3289,1.3289,585.0,NCTY
2023-02-03 15:43:00,1.325,1.3299,1.32,1.32,2218.0,NCTY
2023-02-03 15:41:00,1.32,1.32,1.32,1.32,5200.0,NCTY
2023-02-03 15:40:00,1.32,1.32,1.32,1.32,115.0,NCTY
2023-02-03 15:38:00,1.32,1.32,1.32,1.32,100.0,NCTY
2023-02-03 15:37:00,1.325,1.325,1.32,1.32,250.0,NCTY
2023-02-03 15:35:00,1.32,1.32,1.32,1.32,135.0,NCTY
2023-02-03 15:34:00,1.3259,1.3259,1.32,1.32,250.0,NCTY
2023-02-03 15:33:00,1.325,1.325,1.325,1.325,100.0,NCTY
2023-02-03 15:31:00,1.325,1.33,1.32,1.33,1088.0,NCTY
2023-02-03 15:30:00,1.32,1.32,1.32,1.32,100.0,NCTY
2023-02-03 15:29:00,1.3292,1.3292,1.325,1.325,1100.0,NCTY
2023-02-03 15:28:00,1.32,1.32,1.32,1.32,100.0,NCTY
2023-02-03 15:27:00,1.325,1.325,1.325,1.325,1100.0,NCTY
2023-02-03 15:26:00,1.32,1.32,1.32,1.32,100.0,NCTY
2023-02-03 15:25:00,1.32,1.33,1.32,1.33,357.0,NCTY
2023-02-03 15:24:00,1.3199,1.32,1.3199,1.32,1521.0,NCTY
2023-02-03 15:23:00,1.319,1.32,1.31,1.31,1066.0,NCTY
2023-02-03 15:21:00,1.315,1.32,1.31,1.32,7200.0,NCTY
